Handle,Title,Body (HTML),Vendor,Type,Variant Barcode,Variant Price,Variant Weight,Variant Inventory Qty,Image Src,Google Shopping / MPN
NI3P010,3DS Bag,Velmi pìkný obal z nápisem Nintendo 3DS na pøední stranì.,Nintendo,3DS accessories,8595142712857,5.65,"0,8",41,https://com.cqe.cz/img/galery/original/1_19898.jpg,NI3P010
NIFA0023,amiibo Smash Sheik 23,"Dotkni se, sleduj a připoj se do hry!

Objevujte nový způsob interakce s vaší oblíbenou Nintendo postavičkou. Když se dotknete figurkou NFC dotykového bodu na ovladači Wii U GamePadu při hraní hry, tak se přenesou do hry data, které můžete využít mnoha způsoby. Při hraní se data ve vaší figurce budou updatovat – tak pokračujte dále ve hře a vytvořte si své unikátní amiibo! První set figurek je pro hru Smash Bros. for Wii U.

Sleduj amiibo a jejich vylepšení v boji

Ve hře Super Smash Bros. for Wii U můžete přenést data ze své figurky amiibo přímo do hry a následně s ní bojovat. Postupně při boji bude vaše amiibo zdokonaleno o další dovednosti a herní atributy – jako je vetší síla a nové pohyby.  Můžete si také přidat své vlastní upravené pohyby!

Připoj se do spousty her!

Figurky amiibo můžete využít v mnoha různých hrách – a jakým stylem můžou být použity záleží na hře! Pravidelně jsou vydávány nové postavičky z mnoha různých herních titulů.

Momentálně podporují amiibo figurky tyto hry:

Wii U:


	Super Smash Bros. for Wii U
	Mario Party 10
	Mario Kart 8
	Captain Toad: Treasure Tracker
	Yoshi's Woolly World
	Hyrule Warriors
	Splatoon
	Kirby and the Rainbow Curse


Nintendo 3DS


	Super Smash Bros. for Nintendo 3DS
	Ace Combat: Assasult Horizon Legacy +
	Code Name: S.T.E.A.M.
	Xenoblade Chronicles 3D


Kompatibilita s konzolemi New Nintendo 3DS a Nintendo 3DS/2DS

Figurky amiibo lze použít i při hraní na kapesních konzolích! New Nintendo 3DS obsahuje vestavěnou technologii NFC, která umožní připojit figurku amiibo do hry jednoduše přiložením  ke spodnímu dotykovému displeji. Pro použití s Nintendem 3DS a 2DS bude možné dokoupit speciální příslušenství, které je plánováno na rok 2015.",Nintendo,amiibo figures,045496352585,11,"0,1",5,https://com.cqe.cz/img/galery/original/1_18990.jpg,NIFA0023
NIFA0029,amiibo Smash Meta Knight 29,"Dotkni se, sleduj a připoj se do hry!

Objevujte nový způsob interakce s vaší oblíbenou Nintendo postavičkou. Když se dotknete figurkou NFC dotykového bodu na ovladači Wii U GamePadu při hraní hry, tak se přenesou do hry data, které můžete využít mnoha způsoby. Při hraní se data ve vaší figurce budou updatovat – tak pokračujte dále ve hře a vytvořte si své unikátní amiibo! První set figurek je pro hru Smash Bros. for Wii U.

Sleduj amiibo a jejich vylepšení v boji

Ve hře Super Smash Bros. for Wii U můžete přenést data ze své figurky amiibo přímo do hry a následně s ní bojovat. Postupně při boji bude vaše amiibo zdokonaleno o další dovednosti a herní atributy – jako je vetší síla a nové pohyby.  Můžete si také přidat své vlastní upravené pohyby!

Připoj se do spousty her!

Figurky amiibo můžete využít v mnoha různých hrách – a jakým stylem můžou být použity záleží na hře! Pravidelně jsou vydávány nové postavičky z mnoha různých herních titulů.

Momentálně podporují amiibo figurky tyto hry:

Wii U:


	Super Smash Bros. for Wii U
	Mario Party 10
	Mario Kart 8
	Captain Toad: Treasure Tracker
	Yoshi's Woolly World
	Hyrule Warriors
	Splatoon
	Kirby and the Rainbow Curse


Nintendo 3DS


	Super Smash Bros. for Nintendo 3DS
	Ace Combat: Assasult Horizon Legacy +
	Code Name: S.T.E.A.M.
	Xenoblade Chronicles 3D


Kompatibilita s konzolemi New Nintendo 3DS a Nintendo 3DS/2DS

Figurky amiibo lze použít i při hraní na kapesních konzolích! New Nintendo 3DS obsahuje vestavěnou technologii NFC, která umožní připojit figurku amiibo do hry jednoduše přiložením  ke spodnímu dotykovému displeji. Pro použití s Nintendem 3DS a 2DS bude možné dokoupit speciální příslušenství, které je plánováno na rok 2015.",Nintendo,amiibo figures,045496352752,11,"0,3",41,https://com.cqe.cz/img/galery/original/1_18996.jpg,NIFA0029
NIFA0002,amiibo Smash Peach 2,"Dotkni se, sleduj a připoj se do hry!

Objevujte nový způsob interakce s vaší oblíbenou Nintendo postavičkou. Když se dotknete figurkou NFC dotykového bodu na ovladači Wii U GamePadu při hraní hry, tak se přenesou do hry data, které můžete využít mnoha způsoby. Při hraní se data ve vaší figurce budou updatovat – tak pokračujte dále ve hře a vytvořte si své unikátní amiibo! První set figurek je pro hru Smash Bros. for Wii U.

Sleduj amiibo a jejich vylepšení v boji

Ve hře Super Smash Bros. for Wii U můžete přenést data ze své figurky amiibo přímo do hry a následně s ní bojovat. Postupně při boji bude vaše amiibo zdokonaleno o další dovednosti a herní atributy – jako je vetší síla a nové pohyby.  Můžete si také přidat své vlastní upravené pohyby!

Připoj se do spousty her!

Figurky amiibo můžete využít v mnoha různých hrách – a jakým stylem můžou být použity záleží na hře! Pravidelně jsou vydávány nové postavičky z mnoha různých herních titulů.

Momentálně podporují amiibo figurky tyto hry:

Wii U:


	Super Smash Bros. for Wii U
	Mario Party 10
	Mario Kart 8
	Captain Toad: Treasure Tracker
	Yoshi's Woolly World
	Hyrule Warriors
	Splatoon
	Kirby and the Rainbow Curse


Nintendo 3DS


	Super Smash Bros. for Nintendo 3DS
	Ace Combat: Assasult Horizon Legacy +
	Code Name: S.T.E.A.M.
	Xenoblade Chronicles 3D


Kompatibilita s konzolemi New Nintendo 3DS a Nintendo 3DS/2DS

Figurky amiibo lze použít i při hraní na kapesních konzolích! New Nintendo 3DS obsahuje vestavěnou technologii NFC, která umožní připojit figurku amiibo do hry jednoduše přiložením  ke spodnímu dotykovému displeji. Pro použití s Nintendem 3DS a 2DS bude možné dokoupit speciální příslušenství, které je plánováno na rok 2015.",Nintendo,amiibo figures,045496352370,11,"0,11",8,https://com.cqe.cz/img/galery/original/1_18969.jpg,NIFA0002
NIFA0010,amiibo Smash Pikachu 10,"Dotkni se, sleduj a připoj se do hry!

Objevujte nový způsob interakce s vaší oblíbenou Nintendo postavičkou. Když se dotknete figurkou NFC dotykového bodu na ovladači Wii U GamePadu při hraní hry, tak se přenesou do hry data, které můžete využít mnoha způsoby. Při hraní se data ve vaší figurce budou updatovat – tak pokračujte dále ve hře a vytvořte si své unikátní amiibo! První set figurek je pro hru Smash Bros. for Wii U.

Sleduj amiibo a jejich vylepšení v boji

Ve hře Super Smash Bros. for Wii U můžete přenést data ze své figurky amiibo přímo do hry a následně s ní bojovat. Postupně při boji bude vaše amiibo zdokonaleno o další dovednosti a herní atributy – jako je vetší síla a nové pohyby.  Můžete si také přidat své vlastní upravené pohyby!

Připoj se do spousty her!

Figurky amiibo můžete využít v mnoha různých hrách – a jakým stylem můžou být použity záleží na hře! Pravidelně jsou vydávány nové postavičky z mnoha různých herních titulů.

Momentálně podporují amiibo figurky tyto hry:

Wii U:


	Super Smash Bros. for Wii U
	Mario Party 10
	Mario Kart 8
	Captain Toad: Treasure Tracker
	Yoshi's Woolly World
	Hyrule Warriors
	Splatoon
	Kirby and the Rainbow Curse


Nintendo 3DS


	Super Smash Bros. for Nintendo 3DS
	Ace Combat: Assasult Horizon Legacy +
	Code Name: S.T.E.A.M.
	Xenoblade Chronicles 3D


Kompatibilita s konzolemi New Nintendo 3DS a Nintendo 3DS/2DS

Figurky amiibo lze použít i při hraní na kapesních konzolích! New Nintendo 3DS obsahuje vestavěnou technologii NFC, která umožní připojit figurku amiibo do hry jednoduše přiložením  ke spodnímu dotykovému displeji. Pro použití s Nintendem 3DS a 2DS bude možné dokoupit speciální příslušenství, které je plánováno na rok 2015.",Nintendo,amiibo figures,045496352455,11,"0,11",41,https://com.cqe.cz/img/galery/original/1_18977.jpg,NIFA0010
NIFA0015,amiibo Smash Luigi 15,"Dotkni se, sleduj a připoj se do hry!

Objevujte nový způsob interakce s vaší oblíbenou Nintendo postavičkou. Když se dotknete figurkou NFC dotykového bodu na ovladači Wii U GamePadu při hraní hry, tak se přenesou do hry data, které můžete využít mnoha způsoby. Při hraní se data ve vaší figurce budou updatovat – tak pokračujte dále ve hře a vytvořte si své unikátní amiibo! První set figurek je pro hru Smash Bros. for Wii U.

Sleduj amiibo a jejich vylepšení v boji

Ve hře Super Smash Bros. for Wii U můžete přenést data ze své figurky amiibo přímo do hry a následně s ní bojovat. Postupně při boji bude vaše amiibo zdokonaleno o další dovednosti a herní atributy – jako je vetší síla a nové pohyby.  Můžete si také přidat své vlastní upravené pohyby!

Připoj se do spousty her!

Figurky amiibo můžete využít v mnoha různých hrách – a jakým stylem můžou být použity záleží na hře! Pravidelně jsou vydávány nové postavičky z mnoha různých herních titulů.

Momentálně podporují amiibo figurky tyto hry:

Wii U:


	Super Smash Bros. for Wii U
	Mario Party 10
	Mario Kart 8
	Captain Toad: Treasure Tracker
	Yoshi's Woolly World
	Hyrule Warriors
	Splatoon
	Kirby and the Rainbow Curse


Nintendo 3DS


	Super Smash Bros. for Nintendo 3DS
	Ace Combat: Assasult Horizon Legacy +
	Code Name: S.T.E.A.M.
	Xenoblade Chronicles 3D


Kompatibilita s konzolemi New Nintendo 3DS a Nintendo 3DS/2DS

Figurky amiibo lze použít i při hraní na kapesních konzolích! New Nintendo 3DS obsahuje vestavěnou technologii NFC, která umožní připojit figurku amiibo do hry jednoduše přiložením  ke spodnímu dotykovému displeji. Pro použití s Nintendem 3DS a 2DS bude možné dokoupit speciální příslušenství, které je plánováno na rok 2015.",Nintendo,amiibo figures,045496352509,11,,0,https://com.cqe.cz/img/galery/original/1_18982.jpg,NIFA0015
NIFA0037,amiibo Super Mario - Luigi,"Dotkni se, sleduj a připoj se do hry!

Objevujte nový způsob interakce s vaší oblíbenou Nintendo postavičkou. Když se dotknete figurkou NFC dotykového bodu na ovladači Wii U GamePadu při hraní hry, tak se přenesou do hry data, které můžete využít mnoha způsoby. Při hraní se data ve vaší figurce budou updatovat – tak pokračujte dále ve hře a vytvořte si své unikátní amiibo! První set figurek je pro hru Smash Bros. for Wii U.

Sleduj amiibo a jejich vylepšení v boji

Ve hře Super Smash Bros. for Wii U můžete přenést data ze své figurky amiibo přímo do hry a následně s ní bojovat. Postupně při boji bude vaše amiibo zdokonaleno o další dovednosti a herní atributy – jako je vetší síla a nové pohyby.  Můžete si také přidat své vlastní upravené pohyby!

Připoj se do spousty her!

Figurky amiibo můžete využít v mnoha různých hrách – a jakým stylem můžou být použity záleží na hře! Pravidelně jsou vydávány nové postavičky z mnoha různých herních titulů.

Momentálně podporují amiibo figurky tyto hry:

Wii U:


	Super Smash Bros. for Wii U
	Mario Party 10
	Mario Kart 8
	Captain Toad: Treasure Tracker
	Yoshi's Woolly World
	Hyrule Warriors
	Splatoon
	Kirby and the Rainbow Curse


Nintendo 3DS


	Super Smash Bros. for Nintendo 3DS
	Ace Combat: Assasult Horizon Legacy +
	Code Name: S.T.E.A.M.
	Xenoblade Chronicles 3D


Kompatibilita s konzolemi New Nintendo 3DS a Nintendo 3DS/2DS

Figurky amiibo lze použít i při hraní na kapesních konzolích! New Nintendo 3DS obsahuje vestavěnou technologii NFC, která umožní připojit figurku amiibo do hry jednoduše přiložením  ke spodnímu dotykovému displeji. Pro použití s Nintendem 3DS a 2DS bude možné dokoupit speciální příslušenství, které je plánováno na rok 2015.",Nintendo,amiibo figures,045496352776,11,"0,11",180,https://com.cqe.cz/img/galery/original/1_19982.jpg,NIFA0037
NIUS70801,WiiU Star Fox Zero,"Star Fox Zero is the latest installment in the Star Fox series for Wii U. Fox, Falco, Peppy and Slippy return as Team Star Fox, a group of mercenaries.

Dual screen for enhanced experience

In this version, you'll use the TV screen for piloting the ship, while the Wii U GamePad enables precise targeting of enemies through the cockpit view. Two displays allow showing much more on the TV, making All-range mode gameplay a completely new intense experience.

New gaming options


	Arwings can transform into walking robots called Walkers
	New drone-like Gyrowing
	Popular Landmaster with new flying form


Key features


	Created in collaboration with PlatinumGames
	Return of favorite characters (Fox McCloud, Slippy, Peppy, Falco)
	Special sound technology for realistic communication
	Intuitive dual-stick control for acrobatic maneuvers
	Option to replay missions with different vehicles


Explore exotic planets, complete additional missions and try all new improved vehicles in this exciting space shooter.",Nintendo,Nintendo WiiU games,045496334840,27,,0,https://com.cqe.cz/img/galery/original/1_27273.jpg|https://com.cqe.cz/img/galery/original/1_24557.jpg|https://com.cqe.cz/img/galery/original/1_24558.jpg|https://com.cqe.cz/img/galery/original/1_24559.jpg|https://com.cqe.cz/img/galery/original/1_24561.jpg,NIUS70801
NIFA0042,amiibo Super Mario - Boo,"Přilož, propoj, sbírej!

Vezměte vaše oblíbené Nintendo hrdiny do ruky a zažijte zcela nový způsob hraní vašich oblíbených her pro zařízení z rodiny Nintendo 3DS a konzole Wii U díky amiibo, sběratelským figurkám a kartičkám obsahujícím speciální čipy pro čtení a zápis dat! Jak to celé funguje? Stačí přiložit vaše amiibo k NFC čtečí ploše zabudované do Wii U GamePadu nebo spodní obrazovky vašeho New Nintendo 3DS či New Nintendo 3DS XL (pro starší zařízení z rodiny Nintendo 3DS lze zakoupit samostatnou NFC čtečku) a pak už jenom sledovat, co se na vašich obrazovkách začne dít.

Připoj se do spousty her!

V kompatibilních titulech umí amiibo dělat hotové divy. Někde přidávají speciální kostýmy či vybavení a jinde zase celé herní módy! Ve hrách jako je Super Smash Bros. pro Wii U a Nintendo 3DS dokonce kompatibilní amiibo figurky můžete vytrénovat v ultimátní bojovníky, kteří si budou pamatovat způsob hry svých oponentů a dokonce pro vás sbírat nové herní předměty. Seznam podporovaných titulů se neustále rozrůstá pro nová i dříve vydaná amiibo a mezi podporované tituly tak kupříkladu dále patří takové skvosty jako je Mario Kart 8, Yoshi's Woolly World, Splatoon, Hyrule Warriors a Hyrule Warriors Legends, The Legends of Zelda: Twilight Princess HD či Super Mario Maker.",Nintendo,amiibo figures,045496380205,11,,0,https://com.cqe.cz/img/galery/original/1_30190.jpg|https://com.cqe.cz/img/galery/original/1_30191.jpg,NIFA0042
NIFA0044,amiibo Splatoon Girl,"Dotkni se, sleduj a připoj se do hry!

Objevujte nový způsob interakce s vaší oblíbenou Nintendo postavičkou. Když se dotknete figurkou NFC dotykového bodu na ovladači Wii U GamePadu při hraní hry, tak se přenesou do hry data, které můžete využít mnoha způsoby. Při hraní se data ve vaší figurce budou updatovat – tak pokračujte dále ve hře a vytvořte si své unikátní amiibo! První set figurek je pro hru Smash Bros. for Wii U.

Sleduj amiibo a jejich vylepšení v boji

Ve hře Super Smash Bros. for Wii U můžete přenést data ze své figurky amiibo přímo do hry a následně s ní bojovat. Postupně při boji bude vaše amiibo zdokonaleno o další dovednosti a herní atributy – jako je vetší síla a nové pohyby.  Můžete si také přidat své vlastní upravené pohyby!

Připoj se do spousty her!

Figurky amiibo můžete využít v mnoha různých hrách – a jakým stylem můžou být použity záleží na hře! Pravidelně jsou vydávány nové postavičky z mnoha různých herních titulů.

Momentálně podporují amiibo figurky tyto hry:

Wii U:


	Super Smash Bros. for Wii U
	Mario Party 10
	Mario Kart 8
	Captain Toad: Treasure Tracker
	Yoshi's Woolly World
	Hyrule Warriors
	Splatoon
	Kirby and the Rainbow Curse


Nintendo 3DS


	Super Smash Bros. for Nintendo 3DS
	Ace Combat: Assasult Horizon Legacy +
	Code Name: S.T.E.A.M.
	Xenoblade Chronicles 3D


Kompatibilita s konzolemi New Nintendo 3DS a Nintendo 3DS/2DS

Figurky amiibo lze použít i při hraní na kapesních konzolích! New Nintendo 3DS obsahuje vestavěnou technologii NFC, která umožní připojit figurku amiibo do hry jednoduše přiložením  ke spodnímu dotykovému displeji. Pro použití s Nintendem 3DS a 2DS bude možné dokoupit speciální příslušenství, které je plánováno na rok 2015.",Nintendo,amiibo figures,045496352943,11,"0,11",500,https://com.cqe.cz/img/galery/original/1_22017.jpg,NIFA0044
